date,geography,geography code,Social Grade: All categories: Approximated social grade; measures: Value,Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value,"Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value",Social Grade: C2 Skilled manual occupations; measures: Value,Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value
2011,Ryhope,E05001164,4587,544,1230,1196,1617
2011,St Anne's,E05001165,5985,658,1314,1438,2575
2011,St Chad's,E05001166,8856,1516,3503,1798,2039
2011,St Michael's,E05001167,7754,1574,2430,1641,2109
2011,St Peter's,E05001168,6320,1082,1869,1599,1770
2011,Sandhill,E05001169,4505,352,960,1026,2167
2011,Shiney Row,E05001170,4858,651,1297,1203,1707
2011,Silksworth,E05001171,4234,428,1084,974,1748
2011,Southwick,E05001172,9404,1168,2653,2179,3404
2011,Washington Central,E05001173,8751,1200,2857,2056,2638
2011,Washington East,E05001174,9782,1241,3194,2298,3049
2011,Washington North,E05001175,16871,1891,3627,4755,6598
2011,Washington South,E05001176,4583,875,1335,1112,1261
2011,Washington West,E05001177,6043,858,1606,1650,1929
2011,Audley,E05001620,7444,863,1760,1578,3243
2011,Bastwell,E05001621,3731,326,628,688,2089
2011,Beardwood with Lammack,E05001622,2179,703,664,442,370
2011,Corporation Park,E05001623,3105,512,729,552,1312
2011,Earcroft,E05001624,2800,411,695,686,1008
2011,East Rural,E05001625,1160,208,302,389,261
2011,Ewood,E05001626,2840,312,695,625,1208
2011,Fernhurst,E05001627,1688,280,538,508,362
2011,Higher Croft,E05001628,3956,468,936,926,1626
2011,Little Harwood,E05001629,6822,1230,1753,1641,2198
2011,Livesey with Pleasington,E05001630,2405,582,661,670,492
2011,Marsh House,E05001631,2328,308,591,698,731
2011,Meadowhead,E05001632,1789,199,391,458,741
2011,Mill Hill,E05001633,3453,445,849,794,1365
2011,North Turton with Tockholes,E05001634,1629,541,539,352,197
2011,Queen's Park,E05001635,12001,2369,3668,2452,3512
2011,Roe Lee,E05001636,2725,614,716,667,728
2011,Shadsworth with Whitebirk,E05001637,5833,683,1108,1394,2648
2011,Shear Brow,E05001638,12144,2433,3902,2153,3656
2011,Sudell,E05001639,3509,344,815,804,1546
2011,Sunnyhurst,E05001640,4398,697,1321,1020,1360
2011,Wensley Fold,E05001641,7660,1333,2095,1594,2638
2011,Whitehall,E05001642,1457,269,416,396,376
2011,Anchorsholme,E05001643,1883,259,608,450,566
2011,Bispham,E05001644,2302,269,740,510,783
2011,Bloomfield,E05001645,5306,446,1491,1129,2240
2011,Brunswick,E05001646,3724,343,871,719,1791
2011,Claremont,E05001647,5159,400,1475,963,2321
2011,Clifton,E05001648,7190,937,1931,1619,2703
2011,Greenlands,E05001649,5237,565,2674,840,1158
2011,Hawes Side,E05001650,2564,186,697,595,1086
2011,Highfield,E05001651,1921,216,502,490,713
2011,Ingthorpe,E05001652,4444,652,1557,887,1348
2011,Layton,E05001653,2489,242,638,595,1014
2011,Marton,E05001654,3304,532,1243,736,793
2011,Norbreck,E05001655,2632,650,787,540,655
2011,Park,E05001656,8764,1792,2852,1742,2378
2011,Squires Gate,E05001657,2698,346,828,681,843
2011,Stanley,E05001658,4096,605,1272,1039,1180
2011,Talbot,E05001659,11291,1459,4055,2270,3507
2011,Tyldesley,E05001660,3100,453,850,742,1055
2011,Victoria,E05001661,3225,367,888,717,1253
2011,Warbreck,E05001662,3071,308,855,755,1153
2011,Waterloo,E05001663,4438,624,1382,991,1441
2011,Alderley Edge,E05008610,3126,1297,997,444,388
2011,Alsager,E05008611,4992,1476,1271,1089,1156
2011,Audlem,E05008612,2441,593,599,598,651
2011,Bollington,E05008613,4277,1395,1324,855,703
2011,Brereton Rural,E05008614,3174,825,884,907,558
2011,Broken Cross and Upton,E05008615,5621,1743,1877,1053,948
2011,Bunbury,E05008616,7466,1940,2264,1759,1503
2011,Chelford,E05008617,9276,5211,2388,1039,638
2011,Congleton East,E05008618,5508,1221,1403,1394,1490
2011,Congleton West,E05008619,9197,2117,2530,2300,2250
2011,Crewe Central,E05008620,4111,465,992,972,1682
2011,Crewe East,E05008621,19007,3708,5787,4336,5176
2011,Crewe North,E05008622,1346,134,219,383,610
2011,Crewe St Barnabas,E05008623,6714,1402,1314,1769,2229
2011,Crewe South,E05008624,7265,1079,2067,1816,2303
